Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing
,,Saint John Bosco College,Mixed,Wandsworth,,SW19 6QE,18,11,Princes Way,London,Voluntary Aided School,523812,173613
,,One World Preparatory School,Mixed,Ealing,Acton,W3 7SZ,11,3,10 Stanley Gardens,London,Other Independent School,521076,179951
Ealing,Middlesex,North West London Independent Special School,Mixed,Ealing,,W3 7DD,17,7,85 Old Oak Road,London,Other Independent Special School,521766,180547
,,Fashion Retail Academy,Mixed,Westminster,,W1T 1QL,99,16,15 Gresse Street,London,Further Education,529615,181475
,Surrey,Eagle House School Sutton,Mixed,Sutton,,SM2 5SJ,19,11,95 Brighton Road,Sutton,Other Independent Special School,526019,163065
,,The Bexley Pupil Referral Service,Mixed,Bexley,Lensbury Way,SE2 9TA,16,5,The Beeches,Abbey Wood,Pupil Referral Unit,547539,179438
,,Crowlands Primary School,Mixed,Havering,,RM7 9EJ,11,3,London Road,Romford,Community School,550109,188376
,,Harris Boys' Academy East Dulwich,Boys,Southwark,Kingswood Estate,SE22 0AT,18,11,Peckham Rye,London,Academy Sponsor Led,534515,174895
Hatton Road,,Bedfont Primary School,Mixed,Hounslow,Bedfont,TW14 9QZ,11,3,Hatton Road,London,Community School,509086,174388
,,"The City Academy, Hackney",Mixed,Hackney,Hackney,E9 6EA,19,11,Homerton Row,London,Academy Sponsor Led,535413,185117
,,Freshsteps,Mixed,Enfield,"Montagu Road,Edmonton,N9 0ah",N9 0AH,18,11,"Centre 14,Unit 4,Claverings Industrial Estate",Edmonton,Other Independent School,535525,193945
,,Prendergast - Vale College,Mixed,Lewisham,Lewisham,SE13 7BN,16,3,Elmira Street,London,Foundation School,537905,175732
,,Heartlands High School,Mixed,Haringey,Wood Green,N22 7ST,16,11,Station Road,London,Community School,530345,190441
22 Gordon Road,,The Woodlands  Montessori Preparatory School,Mixed,Waltham Forest,,E15 2DD,11,3,Drapers Fields Old Pavilion,Leyton,Other Independent School,538332,185651
,,Chatsworth Primary School,Mixed,Hounslow,,TW3 2NW,11,3,Heath Road,Hounslow,Community School,514365,175245
,,Marathon Science School,Boys,Lewisham,Surrey Quays,SE8 5RQ,16,10,1-9 Evelyn Street,London,Other Independent School,536034,178633
,Kent,Haberdashers' Aske's Crayford Academy,Mixed,Bexley,Crayford,DA1 4RS,19,3,Iron Mill Lane,Bexley,Academy Sponsor Led,551773,175177
,Surrey,Harris Academy Purley,Mixed,Croydon,,CR2 6DT,19,11,Kendra Hall Road,South Croydon,Academy Sponsor Led,531826,163259
,Middlesex,Oasis Academy Hadley,Mixed,Enfield,,EN3 5PA,18,3,Bell Lane,Enfield,Academy Sponsor Led,535878,198180
,Surrey,Oasis Academy Shirley Park,Mixed,Croydon,,CR9 7AL,19,3,Shirley Road,Croydon,Academy Sponsor Led,534874,166649
Neasden,,The Crest Girls Academy,Girls,Brent,,NW2 7SN,19,11,Crest Road,London,Academy Sponsor Led,521993,186425
Neasden,,The Crest Boys' Academy,Boys,Brent,,NW2 7SN,19,11,Crest Road,London,Academy Sponsor Led,521993,186425
,,Stephenson School,Mixed,Kensington and Chelsea,,W10 5BJ,11,4,175 Kensal Road,London,Other Independent School,524448,182262
Tottenham,,Assunnah Primary School,Mixed,Haringey,,N17 6SB,11,4,565a High Road,London,Other Independent School,533846,190314
,,Faraday School,Mixed,Tower Hamlets,64 Orchard Place,E14 0JW,11,4,Trinity Buoy Wharf,London,Other Independent School,539416,180796
,,Trinity School,Mixed,Lewisham,Sydenham,SE26 4ST,16,11,4 Recreation Road,Greater London,Other Independent Special School,535547,171804
Oxford Road,Essex,Ad-Deen Primary School,Mixed,Redbridge,,IG1 2XG,11,3,Eton Community Centre,Ilford,Other Independent School,544272,185510
,Middlesex,Edgware Jewish Girls - Beis Chinuch,Girls,Barnet,Fernhurst Gardens,HA8 7PH,7,3,Yeshurn Synagogue,Edgware,Other Independent School,519102,191863
,,Ohel Blima Rochel Bobov Girls School,Girls,Hackney,,N16 9TJ,10,3,65-67 Ravensdale Road,London,Other Independent School,533941,188042
,,Hopewell School (Bartram),Mixed,Lewisham,Brockley,SE4 2DQ,16,11,25 Bartram Road,Lewisham,Other Independent Special School,536283,174483
Brentwood,,Unity School,Girls,Hounslow,,TW8 9NL,14,7,62a The Ride,London,Other Independent Special School,517523,178507
,Essex,Dagenham Park CofE School,Mixed,Barking and Dagenham,,RM10 9QH,19,11,School Road,Dagenham,Voluntary Controlled School,549623,183932
Stratford,,Education Links,Mixed,Newham,,E15 4HJ,16,11,195 Vicarage Lane,London,Other Independent Special School,539471,183986
,,Lady Nafisa Independent Secondary School for Girls,Girls,Hounslow,,TW3 2AD,16,11,41 Crosslances Road,Hounslow,Other Independent School,513770,175111
Stratford,,East London Independent Special School,Mixed,Newham,1c Maryland Park,E15 1HB,16,7,"Unit 7, Ibex House",London,Other Independent Special School,539263,185011
,,Abbey College,Mixed,Westminster,Belgravia,SW1W 0DH,19,14,22 Grosvenor Gardens,London,Other Independent School,528713,179210
,Surrey,Broadmead Primary School,Mixed,Croydon,,CR0 2EA,11,3,366 Sydenham Road,Croydon,Community School,532944,167143
,,Chepstow House School,Mixed,Kensington and Chelsea,,W11 3EP,7,4,19 Pembridge Villas,London,Other Independent School,525229,180931
,,New Hope Christian Academy,Mixed,Southwark,,SE22 8PW,18,3,31 East Dulwich Grove,London,Other Independent School,533695,175121
,,Ayasofia Primary School,Mixed,Tower Hamlets,,E1 2JA,11,5,114 Cavell Street,London,Other Independent School,534898,181701
,Essex,Drapers' Academy,Mixed,Havering,Harold Hill,RM3 9XR,18,11,Settle Road,Romford,Academy Sponsor Led,555206,192457
,,Wize Up,Mixed,Greenwich,Eltham,SE9 6DN,16,11,579 Westhorne Avenue,London,Other Independent Special School,541842,174980
,,Cambridge Heath Sixth Form,Mixed,Tower Hamlets,Bethnal Green,E2 0LD,18,16,Hadleigh Street,London,Sixth Form Centres,,
,Middlesex,Focus School - Harrow Primary Campus,Mixed,Harrow,,HA1 2JL,11,7,51 Sheepcote Road,Harrow,Other Independent School,515867,188298
,,StreetVibes Media Academy,Mixed,Greenwich,,SE9 1DA,19,13,6 Eltham High Street,London,Other Independent School,542505,174452
Hampton,Middlesex,Hampton Academy,Mixed,Richmond upon Thames,,TW12 3HB,16,11,Hanworth Road,Hampton,Academy Sponsor Led,513129,171293
,,Twickenham Academy,Mixed,Richmond upon Thames,,TW2 6JW,16,11,Percy Road,Twickenham,Academy Sponsor Led,513851,172975
Roehampton,,The Priory Lodge School,Mixed,Wandsworth,,SW15 5JJ,19,5,Priory Lane,London,Other Independent Special School,521595,175173
,,Ebrahim Academy,Boys,Tower Hamlets,,E1 1EJ,16,11,80 Greenfield Road,London,Other Independent School,534350,181496
,,Skinners' Academy,Mixed,Hackney,,N4 1SY,19,11,Woodberry Grove,London,Academy Sponsor Led,532255,187775
,,Islington Sixth Form Consortium,Mixed,Islington,Cowper Street,EC2A 4SH,18,16,C/O Central Foundation Boys' School,London,Sixth Form Centres,,
,,Aylward Academy,Mixed,Enfield,Enfield,N18 1NB,19,11,Windmill Road,London,Academy Sponsor Led,532917,192731
,,Frederick Hugh House,Mixed,Kensington and Chelsea,,SW3 5BY,16,4,48 Old Church Street,London,Other Independent Special School,527032,177715
,,Nightingale Academy,Mixed,Enfield,Edmonton,N9 8DQ,19,11,34 Turin Road,London,Academy Sponsor Led,535338,194582
,,Hammersmith Academy,Mixed,Hammersmith and Fulham,,W12 9PA,18,11,25 Cathnor Road,London,Academy Sponsor Led,522638,179509
,,Heston Primary School,Mixed,Hounslow,Heston,TW5 0QR,11,3,Heston Road,Hounslow,Community School,513255,177466
,Surrey,The Quest Academy,Mixed,Croydon,,CR2 8HD,18,11,Farnborough Avenue,South Croydon,Academy Sponsor Led,535903,163120
,,Richmond Park Academy,Mixed,Richmond upon Thames,,SW14 8RG,16,11,Park Avenue,London,Academy Sponsor Led,521022,175147
Southend Road,Essex,Stradbroke,Girls,Redbridge,19-20 Bourne Court,IG8 8HD,16,8,C/O Tulip Care,Woodford Green,Other Independent Special School,541691,189979
,,The Pier Head Preparatory Montessori School,Mixed,Tower Hamlets,Glamis Road,E1W 3TD,7,5,3 Shadwell Pierhead,Wapping,Other Independent School,535460,180620
,,Oleander Preparatory School,Mixed,Lambeth,Brixton,SW2 1NR,11,3,235 Brixton Hill,Lambeth,Other Independent School,530479,173576
,,The Holmewood School London,Mixed,Barnet,,N12 8SH,18,7,88 Woodside Park Road,London,Other Independent Special School,525774,192586
,Kent,Baston House School,Mixed,Bromley,Hayes,BR2 7AB,16,5,Baston Road,Bromley,Other Independent Special School,540912,165589
,Essex,Chadwell Heath Academy,Mixed,Redbridge,Chadwell Heath,RM6 4RS,18,11,Christie Gardens,Romford,Academy Converters,546883,188007
,Kent,Kemnal Technology College,Boys,Bromley,,DA14 5AA,18,11,Sevenoaks Way,Sidcup,Academy Converters,546848,170207
,,Cuckoo Hall Academy,Mixed,Enfield,Edmonton,N9 8DR,11,3,Cuckoo Hall Lane,London,Academy Converters,535446,194887
,,Durand Academy,Mixed,Lambeth,Stockwell,SW9 0RD,11,3,Hackford Road,London,Academy Converters,530946,176761
,Hertfordshire,"Queen Elizabeth's School, Barnet",Boys,Barnet,,EN5 4DQ,18,11,Queen's Road,Barnet,Academy Converters,523744,196731
,,The Charter School,Mixed,Southwark,,SE24 9JH,18,11,Red Post Hill,London,Academy Converters,532849,174779
,,Ashmole Academy,Mixed,Barnet,Southgate,N14 5RJ,18,11,Cecil Road,London,Academy Converters,529324,194021
,,Kingsdale Foundation School,Mixed,Southwark,Dulwich,SE21 8SQ,18,11,Alleyn Park,London,Academy Converters,533216,172108
,,Kingsmead School,Mixed,Enfield,,EN1 1YQ,18,11,Southbury Road,Enfield,Academy Converters,534226,196459
,,Guru Nanak Academy,Mixed,Hillingdon,,UB4 0LT,18,5,Springfield Road,Hayes,Academy Converters,511258,180073
,Kent,Erith Secondary School,Mixed,Bexley,,DA8 3BN,18,11,Avenue Road,Erith,Academy Converters,550537,177255
,Kent,Beths Grammar School,Boys,Bexley,,DA5 1NE,18,11,Hartford Road,Bexley,Academy Converters,549557,174146
,,Lampton Academy,Mixed,Hounslow,,TW3 4EP,18,11,Lampton Avenue,Hounslow,Academy Converters,513439,176624
,Kent,Darrick Wood School,Mixed,Bromley,,BR6 8ER,18,11,Lovibonds Avenue,Orpington,Academy Converters,543802,164935
,,Roger Ascham Primary School,Mixed,Waltham Forest,,E17 5HU,11,3,Wigton Road,London,Academy Converters,536753,190767
,,Yardley Primary School,Mixed,Waltham Forest,,E4 7PH,11,3,Hawkwood Crescent,London,Academy Converters,537956,195499
,Kent,Bexley Grammar School,Mixed,Bexley,,DA16 2BL,18,11,Danson Lane,Welling,Academy Converters,546489,175163
,Middlesex,Beit Shvidler Primary School,Mixed,Barnet,Edgware,HA8 8NX,11,3,261 Hale Lane,,Voluntary Aided School,519756,192430
,,Hillyfield Primary School,Mixed,Waltham Forest,,E17 6ED,11,5,Higham Hill Road,London,Academy Converters,536262,190062
,,The Compton School,Mixed,Barnet,,N12 0QG,16,11,Summers Lane,London,Academy Converters,527295,191678
,,Drumbeat School and ASD Service,Mixed,Lewisham,Hithergreen and Brockley,SE4 2PR,19,5,Leahurst Road and Revelon Road,London,Community Special School,540047,172372
,,George Carey Church of England Primary School,Mixed,Barking and Dagenham,Minter Road,IG11 0FJ,11,3,The Rivergate Centre,Barking,Voluntary Aided School,546391,182286
,,Christ the Saviour Church of England Primary School,Mixed,Ealing,Ealing,W5 2XA,11,3,"Springbridge Road, New Broadway",London,Voluntary Aided School,517691,180814
,,Platanos College,Mixed,Lambeth,,SW9 0AL,16,11,Clapham Road,London,Academy Converters,530694,176630
,Kent,Coopers Technology College,Mixed,Bromley,,BR7 5PS,18,11,Hawkwood Lane,Chislehurst,Academy Converters,544319,169675
,Kent,Bishop Justus CofE School,Mixed,Bromley,,BR2 8HZ,18,11,Magpie Hall Lane,Bromley,Academy Converters,542300,166663
,Kent,Beaverwood School for Girls,Girls,Bromley,Perry Street,BR7 6HE,18,11,Beaverwood Road,Chislehurst,Academy Converters,545368,170915
Hammersmith,,The Lighthouse Group (TLG) Centre,Mixed,Hammersmith and Fulham,Macbeth Street,W6 9JJ,16,11,St Pauls' Centre,London,Other Independent School,522847,178488
Wimbledon,,RR6,Mixed,Merton,Lake Road,SW19 7HB,19,16,C/O Ricards Lodge High School,London,Sixth Form Centres,,
,Kent,Ravens Wood School,Boys,Bromley,,BR2 8HP,19,11,Oakley Road,Bromley,Academy Converters,541797,165342
,,Haydon School,Mixed,Hillingdon,Eastcote,HA5 2LX,18,11,Wiltshire Lane,Pinner,Academy Converters,509962,189644
,,Cranford Community College,Mixed,Hounslow,Cranford,TW5 9PD,18,11,High Street,Hounslow,Academy Converters,510734,177722
,Surrey,Cheam Park Farm Junior School,Mixed,Sutton,North Cheam,SM3 9UE,11,7,Kingston Avenue,Sutton,Academy Converters,524416,165161
,Kent,"Trinity Church of England School, Belvedere",Mixed,Bexley,,DA17 6HT,18,11,Erith Road,Belvedere,Academy Converters,550151,178565
,Kent,The Ravensbourne School,Mixed,Bromley,,BR2 9EH,18,11,Hayes Lane,Bromley,Academy Converters,540682,168046
,Kent,Charles Darwin School,Mixed,Bromley,Biggin Hill,TN16 3AU,18,11,Jail Lane,Westerham,Academy Converters,542640,159356
,Kent,Newstead Wood School,Girls,Bromley,,BR6 9SA,18,11,Avebury Road,Orpington,Academy Converters,544472,165153
,Surrey,Whitehorse Manor Infant School,Mixed,Croydon,,CR7 8SB,7,3,Whitehorse Road,Thornton Heath,Academy Converters,532842,168080
,Surrey,Whitehorse Manor Junior School,Mixed,Croydon,,CR7 8SB,11,7,Whitehorse Road,Thornton Heath,Academy Converters,532842,168080
,Surrey,Ecclesbourne Primary School,Mixed,Croydon,,CR7 7FA,11,3,Attlee Close,Thornton Heath,Academy Converters,532135,167577
,Essex,The Brittons Academy Trust,Mixed,Havering,,RM13 7BB,16,11,Ford Lane,Rainham,Academy Converters,551859,184206
,Kent,Langley Park School for Boys,Boys,Bromley,South Eden Park Road,BR3 3BP,18,11,Hawksbrook Lane,Beckenham,Academy Converters,537798,167371
,Kent,East Wickham Infant School,Mixed,Bexley,,DA16 3BP,7,3,Wickham Street,Welling,Academy Converters,546123,176548
,Essex,The Coopers' Company and Coborn School,Mixed,Havering,,RM14 3HS,18,11,St Mary's Lane,Upminster,Academy Converters,556786,186575
,Surrey,The Tiffin Girls' School,Girls,Kingston upon Thames,,KT2 5PL,18,11,Richmond Road,Kingston upon Thames,Academy Converters,518089,170985
,Surrey,Wilson's School,Boys,Sutton,,SM6 9JW,18,11,Mollison Drive,Wallington,Academy Converters,530432,163861
,,Swakeleys School for Girls,Girls,Hillingdon,Hillingdon,UB10 0EJ,18,11,Clifton Gardens,Uxbridge,Academy Converters,507941,183191
,Kent,Hayes School,Mixed,Bromley,Hayes,BR2 7DB,18,11,West Common Road,Bromley,Academy Converters,540620,165814
,,Claremont High School,Mixed,Brent,Kenton,HA3 0UH,18,11,Claremont Avenue,Harrow,Academy Converters,518305,188663
,Hertfordshire,East Barnet School,Mixed,Barnet,East Barnet,EN4 8PU,18,11,Chestnut Grove,Barnet,Academy Converters,527778,195482
,Essex,Abbs Cross Academy and Arts College,Mixed,Havering,,RM12 4YB,16,11,Abbs Cross Lane,Hornchurch,Academy Converters,553190,186128
,,Dulwich Hamlet Junior School,Mixed,Southwark,,SE21 7AL,11,7,Dulwich Village,London,Academy Converters,532981,174097
,,Brampton Manor Academy,Mixed,Newham,,E6 3SQ,16,11,Roman Road,London,Academy Converters,541769,182383
,,Rise Education,Mixed,Merton,37-39 Western Road,CR4 3ED,16,13,Units 1-3,Mitcham,Other Independent School,527554,169071
,Kent,Bullers Wood School,Girls,Bromley,Logs Hill,BR7 5LJ,18,11,St Nicolas Lane,Chislehurst,Academy Converters,542533,169755
,Middlesex,Queensmead School,Mixed,Hillingdon,,HA4 0LS,18,11,Queens Walk,Ruislip,Academy Converters,511763,185530
,Surrey,Gonville Academy,Mixed,Croydon,,CR7 6DL,11,3,Gonville Road,Thornton Heath,Academy Converters,530728,167907
,Kent,Welling School,Mixed,Bexley,,DA16 1LB,18,11,Elsa Road,Welling,Academy Converters,546941,176454
,,Wood End Academy,Mixed,Ealing,,UB6 0EQ,11,7,Vernon Rise,Greenford,Academy Converters,514535,185161
,,PPP Community School,Mixed,Hounslow,Green Dragon Lane,TW8 0BL,16,13,St George's,Brentford,Other Independent Special School,518783,178064
,,Al-Futuwwa School,Girls,Barking and Dagenham,2 (Annex Building),IG11 8PY,16,11,Victoria Road,Barking,Other Independent School,544159,184860
,,La Scuola Italiana A Londra,Mixed,Kensington and Chelsea,,W11 4UH,11,3,154 Holland Park Avenue,London,Other Independent School,524256,180088
,,West London Free School,Mixed,Hammersmith and Fulham,,W6 0LB,18,11,Cambridge Grove,London,Free Schools,522894,178875
,Surrey,Overton Grange School,Mixed,Sutton,,SM2 6TQ,18,11,36 Stanley Road,Sutton,Academy Converters,525710,163007
,,Uxbridge High School,Mixed,Hillingdon,,UB8 2PR,18,11,The Greenway,Uxbridge,Academy Converters,506018,183113
,Surrey,West Thornton Primary School,Mixed,Croydon,,CR0 3BS,11,4,Rosecourt Road,Croydon,Academy Converters,530778,167053
,Surrey,Cheam High School,Mixed,Sutton,Cheam,SM3 8PW,18,11,Chatsworth Road,Sutton,Academy Converters,524151,164535
,Surrey,Sutton Grammar School,Boys,Sutton,,SM1 4AS,18,11,Manor Lane,Sutton,Academy Converters,526120,164447
,Surrey,Wallington High School for Girls,Girls,Sutton,,SM6 0PH,18,11,Woodcote Road,Wallington,Academy Converters,529016,162617
,Surrey,Nonsuch High School for Girls,Girls,Sutton,Cheam,SM3 8AB,18,11,Ewell Road,Sutton,Academy Converters,523770,163313
,Surrey,Westbourne Primary School,Mixed,Sutton,Collingwood Road,SM1 2NT,11,3,Anton Crescent,Sutton,Academy Converters,525125,165290
,Surrey,Carshalton High School for Girls,Girls,Sutton,,SM5 2QX,18,11,West Street,Carshalton,Academy Converters,527532,164987
,Surrey,Wallington County Grammar School,Boys,Sutton,,SM6 7PH,18,11,Croydon Road,Wallington,Academy Converters,528934,164954
,Surrey,Carshalton Boys Sports College,Boys,Sutton,,SM5 1RW,18,11,Winchcombe Road,Carshalton,Academy Converters,527120,165871
,Surrey,Greenshaw High School,Mixed,Sutton,,SM1 3DY,18,11,Grennell Road,Sutton,Academy Converters,526548,165719
,,St Luke's Church of England Primary,Mixed,Camden,,NW3 7SU,11,4,12 Kidderpore Avenue,London,Free Schools,525293,185898
,,Eden Primary,Mixed,Haringey,Muswell Hill,N10 1NE,11,4,Tetherdown,London,Free Schools,528278,189998
Cranford,,Cranford Primary,Mixed,Hounslow,,TW4 6LB,11,3,Berkley Avenue,Hounslow,Community School,510511,176224
,,Beis Yaakov Girls School,Girls,Hackney,,N16 5DU,5,3,116 Bethune Road,London,Other Independent School,533087,187568
,,Chestnut Grove School,Mixed,Wandsworth,Balham,SW12 8JZ,19,11,Chestnut Grove,London,Academy Converters,528283,173354
,Surrey,Tiffin School,Boys,Kingston upon Thames,,KT2 6RL,18,11,Queen Elizabeth Road,Kingston upon Thames,Academy Converters,518627,169465
,Surrey,Glenthorne High School,Mixed,Sutton,,SM3 9PS,18,11,Sutton Common Road,Sutton,Academy Converters,525279,166203
,Kent,Warren Road Primary School,Mixed,Bromley,,BR6 6JF,11,4,Warren Road,Orpington,Academy Converters,545712,164469
,Kent,Hayes Primary School,Mixed,Bromley,Hayes,BR2 7LQ,11,4,George Lane,Bromley,Academy Converters,540917,166336
,,Willow Bank Primary School,Mixed,Bexley,Thamesmead,SE2 9XB,11,4,Seacourt Road,London,Academy Sponsor Led,547622,179744
,Essex,Aldborough E-ACT Free School,Mixed,Redbridge,Seven Kings,IG3 8HZ,11,4,Aldborough Road South,Ilford,Free Schools,545304,187848
,,Etz Chaim Jewish Primary School,Mixed,Barnet,,NW7 4SL,11,3,Daws Lane,London,Free Schools,522029,192076
,Essex,Barking Riverside School,Mixed,Barking and Dagenham,Minter Road,IG11 0FJ,19,11,Rivergate Centre (Temp Address),Barking,Foundation School,546387,182288
,,Woodpecker Hall Primary Academy,Mixed,Enfield,Edmonton,N9 8BF,11,3,51 Nightingale Road,London,Free Schools,535488,194988
,,Stratford School,Mixed,Newham,Forest Gate,E7 9PR,16,11,Upton Lane,London,Academy Converters,540427,184397
,,Graveney School,Mixed,Wandsworth,Tooting,SW17 9BU,18,11,Welham Road,London,Academy Converters,528592,170936
,Kent,Langley Park School for Girls,Girls,Bromley,South Eden Park Road,BR3 3BE,18,11,Hawksbrook Lane,Beckenham,Academy Converters,538021,167339
,,Rivers Academy West London,Mixed,Hounslow,,TW14 9PE,18,11,Tachbrook Road,Feltham,Academy Converters,509821,173842
,,Canary Wharf College,Mixed,Tower Hamlets,Isle of Dogs,E14 3BA,11,4,197 East Ferry Road,London,Free Schools,538006,178555
,,The Family School At Larkhall,Mixed,Lambeth,,SW2 5NR,11,4,206-210 Lyham Road,London,Other Independent School,530284,173980
,Middlesex,Radnor House,Mixed,Richmond upon Thames,Cross Deep,TW1 4QG,18,7,Pope's Villa,Twickenham,Other Independent School,515956,172690
,,Nower Hill High School,Mixed,Harrow,,HA5 5RP,18,11,George V Avenue,Pinner,Academy Converters,513351,189250
,Kent,Darrick Wood Infant School,Mixed,Bromley,,BR6 8ER,7,3,Lovibonds Avenue,Orpington,Academy Converters,543802,164935
,,Stewart Fleming Primary School,Mixed,Bromley,Anerley,SE20 7YB,11,4,Witham Road,London,Academy Converters,535126,168971
,Essex,The Campion School,Boys,Havering,,RM11 3BX,18,11,Wingletye Lane,Hornchurch,Academy Converters,554726,189394
,,UK Community College,Boys,Newham,2 Broadway,E15 4QS,19,11,Broadway Chambers,London,Other Independent School,538777,184240
,Surrey,Tolworth Girls' School & Sixth Form,Girls,Kingston upon Thames,,KT6 7LQ,18,11,Fullers Way North,Surbiton,Academy Converters,518681,165343
,Kent,Green Street Green Primary School,Mixed,Bromley,Green Street Green,BR6 6DT,11,4,Vine Road,Orpington,Academy Converters,545766,163569
,Kent,Pickhurst Infant School,Mixed,Bromley,,BR4 0HL,7,5,Pickhurst Lane,West Wickham,Academy Converters,539640,167158
,Kent,Pickhurst Junior School,Mixed,Bromley,,BR4 0HL,11,7,Pickhurst Lane,West Wickham,Academy Converters,539640,167158
,,Park High School,Mixed,Harrow,,HA7 1PL,18,11,Thistlecroft Gardens,Stanmore,Academy Converters,517685,190370
,,Rosedale College,Mixed,Hillingdon,,UB3 2SE,19,11,Wood End Green Road,Hayes,Academy Converters,509083,181288
,Middlesex,Hewens College,Mixed,Hillingdon,,UB4 8JP,19,11,Hewens Road,Hayes,Academy Converters,508346,182206
,Essex,The Palmer Catholic Academy,Mixed,Redbridge,Seven Kings,IG3 8EU,18,11,Aldborough Road South,Ilford,Academy Converters,545277,187125
,,Dunraven School,Mixed,Lambeth,Streatham,SW16 2QB,18,11,94-98 Leigham Court Road,London,Academy Converters,530821,172106
,,Enfield Grammar School,Boys,Enfield,,EN2 6LN,18,11,Market Place,Enfield,Academy Converters,532700,196652
,Surrey,ARK Oval Primary Academy,Mixed,Croydon,,CR0 6BA,11,3,98 Cherry Orchard Road,Croydon,Academy Sponsor Led,533053,166054
,Kent,Harris Academy Beckenham,Mixed,Bromley,,BR3 3SJ,18,11,Manor Way,Beckenham,Academy Sponsor Led,537430,168596
,Hertfordshire,Queen Elizabeth's Girls' School,Girls,Barnet,,EN5 5RR,18,11,High Street,Barnet,Academy Converters,524845,196314
,Kent,Bexleyheath Academy,Mixed,Bexley,,DA6 7DA,18,11,Woolwich Road,Bexleyheath,Academy Sponsor Led,549194,175388
,Essex,St Edward's Church of England School & Sixth Form College,Mixed,Havering,,RM7 9NX,18,11,London Road,Romford,Academy Converters,549396,188164
,,The London Oratory School,Boys,Hammersmith and Fulham,,SW6 1RX,18,7,Seagrave Road,London,Academy Converters,525516,177432
,,Harrow High School and Sports College,Mixed,Harrow,,HA1 2JG,18,11,Gayton Road,Harrow,Academy Converters,515974,188106
,,Bentley Wood High School,Girls,Harrow,,HA7 3NA,18,11,Bridges Road,Stanmore,Academy Converters,515553,192260
Swiss Cottage,,The UCL Academy,Mixed,Camden,,NW3,18,11,Adelaide Road,Camden,Academy Sponsor Led,530452,181648
,Essex,"The Albany, A Business and Enterprise College",Mixed,Havering,Off Albany Road,RM12 4AJ,16,11,Broadstone Road,Hornchurch,Academy Converters,552646,186721
,Surrey,David Livingstone Primary School,Mixed,Croydon,,CR7 8HX,11,4,Northwood Road,Thornton Heath,Academy Converters,532387,169539
,Essex,Hall Mead School,Mixed,Havering,,RM14 1SF,16,11,Marlborough Gardens,Upminster,Academy Converters,556865,187459
,,Rooks Heath High School,Mixed,Harrow,South Harrow,HA2 9AH,18,11,Eastcote Lane,Harrow,Academy Converters,512955,186076
,,Canons High School,Mixed,Harrow,,HA8 6AN,18,11,Shaldon Road,Edgware,Academy Converters,518709,190352
,,Hatch End High School,Mixed,Harrow,,HA3 6NR,18,11,Headstone Lane,Harrow,Academy Converters,513935,190977
,Kent,Balgowan Primary School,Mixed,Bromley,,BR3 4HJ,11,4,Balgowan Road,Beckenham,Academy Converters,536503,169103
,,Drayton Manor High School,Mixed,Ealing,Hanwell,W7 1EU,19,11,Drayton Bridge Road,London,Academy Converters,515577,180978
,Essex,Sacred Heart of Mary Girls' School,Girls,Havering,,RM14 2QR,18,11,St Mary's Lane,Upminster,Academy Converters,555627,186604
,Kent,Valley Primary School,Mixed,Bromley,,BR2 0DA,11,5,Beckenham Lane,Bromley,Academy Converters,539599,169471
,Kent,Biggin Hill Primary School,Mixed,Bromley,Biggin Hill,TN16 3LY,11,4,Old Tye Avenue,Westerham,Academy Converters,542282,159261
,Middlesex,Tarbiyyah Primary School,Mixed,Hounslow,,TW5 9TN,7,4,654 Bath Road,Cranford,Other Independent School,510723,176681
,,Corpus Christi Catholic Primary School,Mixed,Lambeth,,SW2 5BL,11,3,Trent Road,London,Academy Converters,530706,174698
,Surrey,Richard Challoner School,Boys,Kingston upon Thames,,KT3 5PE,18,11,Manor Drive North,New Malden,Academy Converters,520779,166528
,,Independent Jewish Day School,Mixed,Barnet,Hendon,NW4 2AH,11,4,46 Green Lane,London,Academy Converters,523787,188927
,,Bnei Zion Community School,Boys,Hackney,,N16 6TJ,5,3,49a Ravensdale Road,London,Other Independent School,533873,188024
,,ARK Atwood Primary Academy,Mixed,Westminster,Westminster,W10 4RS,11,4,17-23 Third Avenue,London,Free Schools,524423,182533
,,Burnside Secondary PRU,Mixed,Waltham Forest,,E4 8YJ,16,11,Burnside Avenue,London,Pupil Referral Unit,536979,191832
,,ARK Conway Primary Academy,Mixed,Hammersmith and Fulham,Hammersmith,W12 0QT,11,3,60 Hemlock Road,London,Free Schools,522054,180889
,,Cats College London,Mixed,Camden,,WC1A 2RA,24,14,43-45 Bloomsbury Square & 2 Southampton Place,London,Other Independent School,530364,181581
,,The St Marylebone CofE School,Girls,Westminster,,W1U 5BA,18,11,64 Marylebone High Street,London,Academy Converters,528296,181984
,,Whitefield School,Mixed,Barnet,Cricklewood,NW2 1TR,18,11,Claremont Road,London,Academy Converters,523520,187587
,Kent,Hurstmere School,Boys,Bexley,,DA15 9AW,16,11,Hurst Road,Sidcup,Academy Converters,547061,173167
,,The Totteridge Academy,Mixed,Barnet,,N20 8AZ,18,11,Barnet Lane,London,Academy Converters,524632,194876
,Kent,Harris Academy Bromley,Girls,Bromley,,BR3 1QR,18,11,Lennard Road,Beckenham,Academy Converters,536308,170396
